Training perturbation,Test-retest,Diff,Diff > 0
0.962493646,0.851940942,0.110552704,1
0.892263268,0.74064927,0.151613998,1
0.968645183,0.948179267,0.020465916,1
0.975642241,0.943666649,0.031975592,1
0.829771858,0.861322615,-0.031550757,0
0.892576182,0.887196573,0.005379609,1
0.887977823,0.583699155,0.304278668,1
0.970422285,0.902801671,0.067620614,1
0.729784115,0.502603789,0.227180326,1
0.996340514,0.830631753,0.165708761,1
0.877993474,0.631239846,0.246753628,1
0.855173578,0.84256471,0.012608868,1
0.731288899,0.511591907,0.219696992,1
0.765867689,0.640063445,0.125804244,1
0.751567518,0.590543588,0.16102393,1
0.8125227,0.628709031,0.183813669,1
0.852045879,0.754495643,0.097550236,1
0.721580322,0.621702365,0.099877957,1
0.890012407,0.802357696,0.087654711,1
0.879586848,0.80310471,0.076482138,1
0.825256289,0.723758619,0.10149767,1
0.911905628,0.806758906,0.105146722,1
0.910463265,0.805328894,0.105134371,1
0.855330747,0.759564961,0.095765786,1
0.893889374,0.805184157,0.088705217,1
0.772014381,0.713153454,0.058860927,1
0.699517613,0.556178922,0.143338691,1
0.854870019,0.653383502,0.201486517,1
0.725291426,0.494820993,0.230470433,1
0.895160948,0.544999308,0.35016164,1
0.847572412,0.701414659,0.146157753,1
0.567714335,0.556890276,0.010824059,1
0.877081416,0.532339389,0.344742027,1
0.725291426,0.494820993,0.230470433,1
0.837625037,0.628201933,0.209423104,1
0.819260685,0.637325563,0.181935122,1
0.997759584,0.957662006,0.040097578,1
0.869609018,0.677022283,0.192586735,1
0.827877291,0.651599255,0.176278036,1
0.709584018,0.481691719,0.227892299,1
0.939051105,0.72439075,0.214660355,1
0.873297687,0.587899418,0.285398269,1
0.608415954,0.388952043,0.219463911,1
0.701183281,0.463286171,0.23789711,1
0.740635506,0.366787728,0.373847778,1
0.982629231,0.738510365,0.244118866,1
0.931396968,0.832021324,0.099375644,1
0.940925372,0.846009575,0.094915797,1
0.942223366,0.718354374,0.223868992,1
0.9328242,0.821652374,0.111171826,1
0.720027353,0.465903437,0.254123916,1
0.723498418,0.479200385,0.244298033,1
0.963072831,0.702048354,0.261024477,1
0.712917024,0.528198263,0.184718761,1
0.752290496,0.572515565,0.179774931,1
0.591602692,0.389285042,0.20231765,1
0.924243057,0.866324488,0.057918569,1
0.887773641,0.75924176,0.128531881,1
0.95639868,0.956574352,-0.000175672,0
0.585849052,0.265672453,0.320176599,1
0.811860355,0.387744728,0.424115627,1
0.740324927,0.478842173,0.261482754,1
0.700185074,0.456606579,0.243578495,1
0.680242665,0.498623454,0.181619211,1
0.43040459,0.152469138,0.277935452,1
0.914185139,0.738703843,0.175481296,1
0.927601043,0.820540973,0.10706007,1
0.924393933,0.864526867,0.059867066,1
0.93182569,0.73581573,0.19600996,1
0.997667833,0.888529277,0.109138556,1
0.917798403,0.797728694,0.120069709,1
0.931645262,0.83718033,0.094464932,1
0.989008456,0.907502612,0.081505844,1
0.83515468,0.663426296,0.171728384,1
0.719398045,0.488365476,0.231032569,1
0.942228318,0.822605346,0.119622972,1
0.882981036,0.694240429,0.188740607,1
0.661220864,0.473270281,0.187950583,1
0.692307324,0.470698688,0.221608636,1
0.914456008,0.816501077,0.097954931,1
0.918912982,0.905432025,0.013480957,1
0.789420052,0.567446885,0.221973167,1
0.997780308,0.924118442,0.073661866,1
0.972670854,0.746648844,0.22602201,1
0.846628611,0.78631032,0.060318291,1
0.865902173,0.715638192,0.150263981,1
0.939612523,0.797272707,0.142339816,1
0.915092409,0.872325249,0.04276716,1
0.989465624,0.939821364,0.04964426,1
0.997539816,0.823474704,0.174065112,1
0.865500431,0.634171444,0.231328987,1
0.899697782,0.610784879,0.288912903,1
0.85771556,0.529355354,0.328360206,1
0.972826701,0.896466599,0.076360102,1
0.917218069,0.764688709,0.15252936,1
0.975978649,0.935470747,0.040507902,1
0.978898614,0.934032514,0.0448661,1
0.872280245,0.861562249,0.010717996,1
0.920246687,0.896058439,0.024188248,1
0.907432151,0.648438304,0.258993847,1
0.972762191,0.897275546,0.075486645,1
0.827742153,0.575248725,0.252493428,1
0.997539816,0.823474704,0.174065112,1
0.885136068,0.608687349,0.276448719,1
0.90153695,0.818126956,0.083409994,1
0.828012417,0.542229439,0.285782978,1
0.793708088,0.611152488,0.1825556,1
0.794768776,0.562811003,0.231957773,1
0.828044626,0.624445882,0.203598744,1
0.854182676,0.845640225,0.008542451,1
0.774834079,0.736338167,0.038495912,1
0.897704711,0.838398246,0.059306465,1
0.877588457,0.82712412,0.050464337,1
0.802567947,0.838630895,-0.036062948,0
0.925031952,0.817623669,0.107408283,1
0.923940856,0.81781089,0.106129966,1
0.857210342,0.84577072,0.011439622,1
0.902090597,0.836585111,0.065505486,1
0.787962506,0.78998835,-0.002025844,0
0.714436939,0.657978403,0.056458536,1
0.862173906,0.701324456,0.16084945,1
0.830012847,0.557636564,0.272376283,1
0.910398988,0.543706518,0.36669247,1
0.85898499,0.681088003,0.177896987,1
0.657864829,0.683740512,-0.025875683,0
0.888174943,0.539180111,0.348994832,1
0.830012847,0.557636564,0.272376283,1
0.848171137,0.599566411,0.248604726,1
0.832414091,0.63016524,0.202248851,1
0.998214626,0.963294995,0.034919631,1
0.87065368,0.649424508,0.221229172,1
0.832443994,0.609858282,0.222585712,1
0.808075631,0.496356916,0.311718715,1
0.956184429,0.732916555,0.223267874,1
