,ICC,Lower,Higher
original_ngtdm_Complexity_32_binCount,0.6202404173748122,0.5946727214941193,0.6445550186384154
original_ngtdm_Contrast_32_binCount,0.7790685897814026,0.7626247229343325,0.7945060702405833
original_ngtdm_Strength_32_binCount,0.8305323495086092,0.8175283588390434,0.8426899207607463
log-sigma-1-mm-3D_firstorder_10Percentile_32_binCount,0.7989736180859708,0.783831636006103,0.8131660054064312
log-sigma-1-mm-3D_firstorder_90Percentile_32_binCount,0.9203622976864402,0.9139271682712208,0.9263348794705092
log-sigma-1-mm-3D_firstorder_Energy_32_binCount,0.9681091188025571,0.9654627891136496,0.9705557379413858
log-sigma-1-mm-3D_firstorder_Entropy_32_binCount,0.7750478899209094,0.7583478690718853,0.7907312707443485
log-sigma-1-mm-3D_firstorder_InterquartileRange_32_binCount,0.941897497778125,0.9371454411395677,0.9463002671992563
log-sigma-1-mm-3D_firstorder_Kurtosis_32_binCount,0.48443656710187605,0.45280591930472913,0.5148490939488091
log-sigma-1-mm-3D_firstorder_Maximum_32_binCount,0.8236247824220286,0.8101438968495914,0.8362350360489886
log-sigma-1-mm-3D_firstorder_MeanAbsoluteDeviation_32_binCount,0.8765307699702412,0.8667994993289488,0.8855947445037778
log-sigma-1-mm-3D_firstorder_Mean_32_binCount,0.8543588888014496,0.8430251043586958,0.8649343345170305
log-sigma-1-mm-3D_firstorder_Median_32_binCount,0.9127713097067616,0.9057529222336494,0.9192892425162885
log-sigma-1-mm-3D_firstorder_Minimum_32_binCount,0.6210280621502586,0.5954979845073963,0.645305083544716
log-sigma-1-mm-3D_firstorder_Range_32_binCount,0.7240028592762746,0.7041441940671151,0.7427298643230666
log-sigma-1-mm-3D_firstorder_RobustMeanAbsoluteDeviation_32_binCount,0.9386618107850764,0.9336543069236196,0.9433024900264909
log-sigma-1-mm-3D_firstorder_RootMeanSquared_32_binCount,0.7706223076827309,0.7536383706349287,0.7865779255943582
log-sigma-1-mm-3D_firstorder_Skewness_32_binCount,0.2970255349868732,0.2596294957405416,0.3335316002008641
log-sigma-1-mm-3D_firstorder_TotalEnergy_32_binCount,0.9681091188025571,0.9654627891136496,0.9705557379413858
log-sigma-1-mm-3D_firstorder_Uniformity_32_binCount,0.7625322636374632,0.7450373251468578,0.7789789514385388
log-sigma-1-mm-3D_firstorder_Variance_32_binCount,0.5941041139429482,0.5672455452307066,0.6197003575409595
log-sigma-1-mm-3D_glcm_Autocorrelation_32_binCount,0.3295464246425957,0.29295288349343207,0.36517660430930055
log-sigma-1-mm-3D_glcm_ClusterProminence_32_binCount,0.6706250245854168,0.6477109890378695,0.6923270749169006
log-sigma-1-mm-3D_glcm_ClusterShade_32_binCount,0.4308320942068201,0.3972491030649896,0.4632625026406821
log-sigma-1-mm-3D_glcm_ClusterTendency_32_binCount,0.7440603573378979,0.7254166198560894,0.7616132934046782
log-sigma-1-mm-3D_glcm_Contrast_32_binCount,0.7573619789412046,0.7395412199639064,0.7741218406851279
log-sigma-1-mm-3D_glcm_Correlation_32_binCount,0.5722958139735635,0.5444098476945247,0.5989185602549998
log-sigma-1-mm-3D_glcm_DifferenceAverage_32_binCount,0.7824389818917452,0.7662158623932275,0.7976654240826674
log-sigma-1-mm-3D_glcm_DifferenceEntropy_32_binCount,0.7815300181209637,0.7652481181697247,0.7968127647853086
log-sigma-1-mm-3D_glcm_DifferenceVariance_32_binCount,0.7591498239569964,0.7414421181464647,0.7758010808549234
log-sigma-1-mm-3D_glcm_Id_32_binCount,0.7909494598561438,0.7752810887980082,0.8056451067501627
log-sigma-1-mm-3D_glcm_Idm_32_binCount,0.7888319165158851,0.7730249541769596,0.8036600975514353
log-sigma-1-mm-3D_glcm_Idmn_32_binCount,0.7597283409005757,0.7420559489318626,0.7763454886159779
log-sigma-1-mm-3D_glcm_Idn_32_binCount,0.7842296461174102,0.7681227458246974,0.7993448218598362
log-sigma-1-mm-3D_glcm_Imc1_32_binCount,0.8261256393270195,0.8128160535302487,0.8385731012241551
log-sigma-1-mm-3D_glcm_Imc2_32_binCount,0.859158476580271,0.8481566028745016,0.8694187741421594
log-sigma-1-mm-3D_glcm_InverseVariance_32_binCount,0.6182281563101885,0.5925540087570054,0.642647383392464
log-sigma-1-mm-3D_glcm_JointAverage_32_binCount,0.33811933341663414,0.3017474616899003,0.3735090384639601
log-sigma-1-mm-3D_glcm_JointEnergy_32_binCount,0.7293675883560704,0.709831044817217,0.7477829491946479
log-sigma-1-mm-3D_glcm_JointEntropy_32_binCount,0.7655334960645148,0.7482277940733165,0.7817982901251449
log-sigma-1-mm-3D_glcm_MCC_32_binCount,0.4417252431552533,0.40853422164317094,0.4737504347774418
log-sigma-1-mm-3D_glcm_MaximumProbability_32_binCount,0.7393500627866911,0.7204170367982267,0.7571820259613053
log-sigma-1-mm-3D_glcm_SumAverage_32_binCount,0.33811933294869595,0.30174746120960894,0.3735090380093736
log-sigma-1-mm-3D_glcm_SumEntropy_32_binCount,0.7692959693822098,0.7522286170668187,0.785331807946701
log-sigma-1-mm-3D_glcm_SumSquares_32_binCount,0.7516069251492791,0.7334287996765472,0.7687110097665174
